"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 05","28.00","27.99","28.23","25.98","86.86M","0.04%"
"Dec 04","27.99","28.82","28.83","25.87","87.54M","-3.08%"
"Nov 04","28.88","26.98","29.14","26.34","73.94M","7.84%"
"Oct 04","26.78","26.84","28.50","25.98","83.38M","-0.15%"
"Sep 04","26.82","24.94","27.08","24.82","77.76M","8.28%"
"Aug 04","24.77","23.67","24.84","22.91","96.98M","4.82%"
"Jul 04","23.63","23.39","24.21","22.97","58.53M","1.77%"
"Jun 04","23.22","21.46","23.85","20.88","72.04M","9.53%"
"May 04","21.20","22.64","23.60","21.02","82.30M","-6.36%"
"Apr 04","22.64","22.23","23.76","21.83","62.16M","2.49%"
"Mar 04","22.09","21.44","22.65","20.73","81.26M","3.76%"
"Feb 04","21.29","21.13","21.63","20.58","65.39M","0.76%"
"Jan 04","21.13","20.22","21.64","20.12","69.09M","4.29%"
"Dec 03","20.26","17.61","20.61","17.61","61.22M","15.18%"
"Nov 03","17.59","16.64","17.75","16.64","41.48M","4.02%"
"Oct 03","16.91","17.02","17.67","16.76","57.47M","0.06%"
"Sep 03","16.90","16.47","17.19","16.37","60.63M","2.61%"
"Aug 03","16.47","15.61","16.48","15.32","51.02M","5.04%"
"Jul 03","15.68","16.09","16.34","14.70","67.60M","-2.55%"
"Jun 03","16.09","16.23","16.50","15.88","50.32M","-0.56%"
"May 03","16.18","14.36","16.19","14.22","67.36M","12.99%"
"Apr 03","14.32","14.51","15.02","14.17","72.97M","-0.35%"
"Mar 03","14.37","14.36","14.74","13.91","97.14M","0.21%"
"Feb 03","14.34","14.01","14.35","13.64","75.61M","2.36%"
"Jan 03","14.01","13.57","14.18","13.03","52.41M","2.71%"
"Dec 02","13.64","13.38","14.02","13.01","51.15M","2.10%"
"Nov 02","13.36","13.60","13.84","12.70","53.32M","-2.34%"
"Oct 02","13.68","13.86","14.74","13.20","86.54M","0.51%"
"Sep 02","13.61","14.05","14.34","13.16","63.70M","-4.42%"
"Aug 02","14.24","12.97","14.39","11.96","51.15M","9.62%"
"Jul 02","12.99","14.36","14.43","11.02","84.12M","-9.67%"
"Jun 02","14.38","14.27","14.58","13.74","58.46M","0.42%"
"May 02","14.32","13.79","14.75","13.56","57.18M","3.84%"
"Apr 02","13.79","13.98","14.36","13.45","59.90M","-1.36%"
"Mar 02","13.98","12.85","14.00","12.84","46.11M","8.62%"
"Feb 02","12.87","12.49","12.96","11.87","37.47M","3.37%"
"Jan 02","12.45","12.69","12.86","11.65","38.50M","-2.12%"
"Dec 01","12.72","11.82","13.05","11.59","38.65M","6.09%"
"Nov 01","11.99","12.09","12.78","11.17","46.71M","-1.24%"
"Oct 01","12.14","11.67","12.73","11.13","52.65M","4.03%"
"Sep 01","11.67","13.22","13.74","10.50","46.42M","-11.59%"
"Aug 01","13.20","13.38","13.84","12.69","34.97M","-0.45%"
"Jul 01","13.26","12.87","13.48","12.23","46.08M","4.00%"
"Jun 01","12.75","14.39","14.75","12.66","50.19M","-11.27%"
"May 01","14.37","14.45","14.92","13.09","58.84M","-0.55%"
"Apr 01","14.45","11.90","14.60","11.53","71.57M","21.74%"
"Mar 01","11.87","11.46","12.71","10.89","53.47M","3.13%"
"Feb 01","11.51","10.84","11.85","10.55","40.02M","5.69%"
"Jan 01","10.89","11.51","12.08","10.49","45.35M","-6.36%"
"Dec 00","11.63","10.49","12.26","9.86","49.19M","12.15%"
"Nov 00","10.37","9.62","10.91","9.47","47.37M","8.81%"
"Oct 00","9.53","10.55","10.79","9.14","51.75M","-8.89%"
